AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4
4611.281738,4051.281982,4456.922852,4338.461426,4311.281738,4673.846191,4389.230469,4662.05127,3857.94873,4359.487305,4861.025391,4303.07666,4626.153809,4008.717773
4597.435547,4036.923096,4443.589844,4328.717773,4295.384277,4670.769043,4377.435547,4650.769043,3836.410156,4327.179199,4841.025391,4294.358887,4608.717773,3999.487061
4586.666504,4029.230713,4429.743652,4319.487305,4284.102539,4667.179199,4354.871582,4637.435547,3822.05127,4303.07666,4830.769043,4279.487305,4589.230469,3988.717773
4574.871582,4021.025635,4417.435547,4309.230469,4274.358887,4658.974121,4346.153809,4630.256348,3813.845947,4294.871582,4826.666504,4259.487305,4574.358887,3968.205078
4561.538574,4007.179443,4408.205078,4296.922852,4257.94873,4657.435547,4349.743652,4628.717773,3823.076904,4309.743652,4836.922852,4248.717773,4566.666504,3949.743408
4549.230469,3993.845947,4394.871582,4286.153809,4248.205078,4654.871582,4331.794922,4617.94873,3814.358887,4295.384277,4826.666504,4235.384277,4563.07666,3943.5896
4542.05127,3986.153809,4383.07666,4277.436035,4242.05127,4650.256348,4310.769043,4602.05127,3778.461426,4247.692383,4793.846191,4215.897461,4546.666504,3933.845947
4538.974121,3982.05127,4377.435547,4268.205078,4230.256348,4649.743652,4310.769043,4593.846191,3767.692139,4233.333008,4789.230469,4209.743652,4528.717773,3922.563965
4530.769043,3975.384521,4370.769043,4261.538574,4218.974121,4646.666504,4302.05127,4587.692383,3776.410156,4236.922852,4796.410156,4213.333008,4527.179199,3922.05127
4515.897461,3966.153809,4362.05127,4254.358887,4212.307617,4641.025391,4283.589844,4571.281738,3757.435791,4214.871582,4777.435547,4202.563965,4525.641113,3915.897461
4511.794922,3961.53833,4359.487305,4246.666504,4209.230469,4637.94873,4283.589844,4564.615234,3739.487061,4206.666504,4769.230469,4193.333008,4521.025391,3905.640869
4521.538574,3962.05127,4365.641113,4249.230469,4213.846191,4643.589844,4294.871582,4574.871582,3757.94873,4231.281738,4792.307617,4200,4517.435547,3909.230713
4526.666504,3972.307617,4370.769043,4262.05127,4228.205078,4632.820313,4310.256348,4592.820313,3775.897461,4242.563965,4794.358887,4217.436035,4531.281738,3928.205078
4525.641113,3978.974365,4374.871582,4264.615234,4230.769043,4635.897461,4306.666504,4593.333008,3766.153809,4228.717773,4784.615234,4223.07666,4542.563965,3934.358887
4520.512695,3971.281982,4372.820313,4255.897461,4213.846191,4655.897461,4284.615234,4573.333008,3764.102539,4225.12793,4798.461426,4206.666504,4523.589844,3919.487061
4508.205078,3962.05127,4356.922852,4246.666504,4207.179199,4635.384277,4286.666504,4573.846191,3759.487061,4206.666504,4781.025391,4197.94873,4510.256348,3912.820313
4507.179199,3954.871582,4348.717773,4237.94873,4203.07666,4632.820313,4286.666504,4575.897461,3740.512695,4177.94873,4760.512695,4200,4513.846191,3910.769043
4507.692383,3952.307617,4347.179199,4234.871582,4194.871582,4644.102539,4265.12793,4558.974121,3745.128174,4198.461426,4779.487305,4191.281738,4508.205078,3901.53833
4502.05127,3960.512695,4343.589844,4241.538574,4204.102539,4630.256348,4266.666504,4552.820313,3757.94873,4227.179199,4787.692383,4184.615234,4502.05127,3897.435791
4518.461426,3976.410156,4358.461426,4256.922852,4221.538574,4638.974121,4288.205078,4566.666504,3761.53833,4223.07666,4790.769043,4201.025391,4518.974121,3914.871582
4537.94873,3988.717773,4378.461426,4265.641113,4228.717773,4646.153809,4293.846191,4585.641113,3773.845947,4230.256348,4805.12793,4226.153809,4546.153809,3939.487061
4530.769043,3990.769043,4373.846191,4260.512695,4227.692383,4632.307617,4286.666504,4582.563965,3777.94873,4242.563965,4804.102539,4228.717773,4544.615234,3937.94873
4526.666504,3982.563965,4362.05127,4252.307617,4222.05127,4642.563965,4281.538574,4561.538574,3758.461426,4222.563965,4790.769043,4209.230469,4521.025391,3916.923096
4532.820313,3975.897217,4359.487305,4249.743652,4216.410156,4648.717773,4280.512695,4564.102539,3747.692139,4200.512695,4784.615234,4205.12793,4519.487305,3914.358887
4529.743652,3977.435791,4353.846191,4250.769043,4215.384277,4627.179199,4275.384277,4584.102539,3753.333252,4208.205078,4782.05127,4217.94873,4532.820313,3926.153809
4521.538574,3975.897217,4345.641113,4244.615234,4208.205078,4629.743652,4258.974121,4569.743652,3752.820313,4220,4784.102539,4205.641113,4511.794922,3913.333252
4509.743652,3964.615234,4337.94873,4233.846191,4196.410156,4632.307617,4251.794922,4550.256348,3749.230713,4215.384277,4781.025391,4187.179199,4493.333008,3893.845947
4500.512695,3950.256348,4332.307617,4230.769043,4190.256348,4626.153809,4250.769043,4553.333008,3741.53833,4203.07666,4772.307617,4188.205078,4508.205078,3891.794678
4501.025391,3949.230713,4327.692383,4232.820313,4186.153809,4626.153809,4243.589844,4550.256348,3731.281982,4194.871582,4766.666504,4182.563965,4507.692383,3891.794678
4495.897461,3952.307617,4317.436035,4225.641113,4180.512695,4620.512695,4237.94873,4544.102539,3714.871582,4169.230469,4748.717773,4165.641113,4480,3879.487061
4486.153809,3941.53833,4308.205078,4214.871582,4171.281738,4622.05127,4231.281738,4536.410156,3702.05127,4150.769043,4739.487305,4153.846191,4458.461426,3861.025635
4481.538574,3934.871582,4304.615234,4211.281738,4164.102539,4616.410156,4224.615234,4536.410156,3711.794678,4170.769043,4752.820313,4159.487305,4472.307617,3864.102539
4483.07666,3936.923096,4304.102539,4211.794922,4163.589844,4616.922852,4222.563965,4541.025391,3717.94873,4173.846191,4752.307617,4166.153809,4487.692383,3873.333252
4481.025391,3934.871582,4302.05127,4211.281738,4168.205078,4618.974121,4227.179199,4535.897461,3704.102539,4151.794922,4737.94873,4159.487305,4476.410156,3865.640869
4473.333008,3931.281982,4296.922852,4204.615234,4165.12793,4613.333008,4226.153809,4526.666504,3699.487061,4156.922852,4738.974121,4154.358887,4459.487305,3857.94873
4474.871582,3931.281982,4296.922852,4198.974121,4155.384277,4614.871582,4212.307617,4518.461426,3708.717773,4170.256348,4747.692383,4153.333008,4459.487305,3856.923096
4479.487305,3932.820313,4295.384277,4200,4157.436035,4609.743652,4205.12793,4517.94873,3700,4148.717773,4731.794922,4154.358887,4465.641113,3860
4479.487305,3930.256348,4295.384277,4201.025391,4162.05127,4611.794922,4205.12793,4513.846191,3682.563965,4124.615234,4718.974121,4154.871582,4451.281738,3862.05127
4480,3930.769043,4296.410156,4198.461426,4157.436035,4613.846191,4204.615234,4506.666504,3693.845947,4143.589844,4734.358887,4154.871582,4444.615234,3863.5896
4477.94873,3935.384521,4292.307617,4193.846191,4154.871582,4606.153809,4205.641113,4507.179199,3707.692139,4164.615234,4740,4153.333008,4466.153809,3864.615234
4473.333008,3934.358887,4293.846191,4195.897461,4157.436035,4611.794922,4201.538574,4511.794922,3704.102539,4154.358887,4734.358887,4150.769043,4475.897461,3863.5896
4471.281738,3932.820313,4299.487305,4199.487305,4160,4609.743652,4197.436035,4523.07666,3708.717773,4160,4743.589844,4154.358887,4465.641113,3864.615234
4471.794922,3934.871582,4300.512695,4193.846191,4157.436035,4605.12793,4196.922852,4522.05127,3712.307617,4176.922852,4751.281738,4153.333008,4457.435547,3863.076904
4470.256348,3934.358887,4298.461426,4184.102539,4152.307617,4608.717773,4201.025391,4510.769043,3685.128174,4144.615234,4726.153809,4149.230469,4461.538574,3863.076904
4466.666504,3931.281982,4296.410156,4184.102539,4150.256348,4606.153809,4207.692383,4515.384277,3670.256348,4116.922852,4709.743652,4155.897461,4466.666504,3869.743408
4468.205078,3930.769043,4298.461426,4188.205078,4149.230469,4607.692383,4206.153809,4525.12793,3696.923096,4151.281738,4738.461426,4157.436035,4451.281738,3869.230713
4468.205078,3931.794678,4298.461426,4187.179199,4151.281738,4606.153809,4204.615234,4525.12793,3710.769043,4174.358887,4748.717773,4148.717773,4439.487305,3860
4467.179199,3929.743408,4295.384277,4187.179199,4155.897461,4605.641113,4207.179199,4523.07666,3688.205078,4144.615234,4725.12793,4145.641113,4458.974121,3856.410156
4468.205078,3925.128174,4292.307617,4191.281738,4155.897461,4608.205078,4210.256348,4522.563965,3678.461426,4133.333008,4723.589844,4149.743652,4475.384277,3860.512695
4462.05127,3921.53833,4290.256348,4189.743652,4149.230469,4604.102539,4209.743652,4517.435547,3688.205078,4150.769043,4731.281738,4139.487305,4448.205078,3850.769043
4452.820313,3917.94873,4287.179199,4185.12793,4145.641113,4606.153809,4201.538574,4506.153809,3679.487061,4135.384277,4716.410156,4124.615234,4413.846191,3833.333252
4451.281738,3917.435791,4286.666504,4182.563965,4147.179199,4603.589844,4198.974121,4509.230469,3680.512695,4132.307617,4716.410156,4131.281738,4427.692383,3837.94873
4450.769043,3912.307617,4286.153809,4179.487305,4142.05127,4603.07666,4204.615234,4521.538574,3701.025635,4167.692383,4739.487305,4135.897461,4449.743652,3843.076904
4441.025391,3903.5896,4279.487305,4172.307617,4135.384277,4605.641113,4205.641113,4522.563965,3691.281982,4158.461426,4729.743652,4117.436035,4428.205078,3826.666504
4432.307617,3904.615234,4270.769043,4169.743652,4134.358887,4598.461426,4202.05127,4516.410156,3661.53833,4108.205078,4694.358887,4103.07666,4407.179199,3819.487061
4437.435547,3906.666504,4275.384277,4173.333008,4132.307617,4600.512695,4198.461426,4503.07666,3652.307617,4093.845947,4688.717773,4111.281738,4414.871582,3834.358887
4440,3907.179443,4281.025391,4171.794922,4131.794922,4600.512695,4192.820313,4494.871582,3663.5896,4112.820313,4702.563965,4127.179199,4425.641113,3848.205078
4436.410156,3909.743408,4279.487305,4170.256348,4134.871582,4598.461426,4198.461426,4509.230469,3681.025635,4130.769043,4712.820313,4131.281738,4429.743652,3850.769043
4438.461426,3911.794678,4281.538574,4173.333008,4134.871582,4601.025391,4208.205078,4519.487305,3702.05127,4146.666504,4725.641113,4128.717773,4438.461426,3855.384521
4435.897461,3911.281982,4281.025391,4172.307617,4133.846191,4596.410156,4196.410156,4506.153809,3706.153809,4146.666504,4725.12793,4131.281738,4447.692383,3862.05127
4430.769043,3906.153809,4277.94873,4170.769043,4132.820313,4593.846191,4181.538574,4493.846191,3696.923096,4133.333008,4715.897461,4131.281738,4439.487305,3860
4432.307617,3907.179443,4278.461426,4175.897461,4132.820313,4590.256348,4184.615234,4498.974121,3698.974365,4132.307617,4717.435547,4126.666504,4434.871582,3856.410156
4433.333008,3914.358887,4280.512695,4177.94873,4136.922852,4585.12793,4188.717773,4497.94873,3691.281982,4116.410156,4707.692383,4122.563965,4429.743652,3855.897461
4427.692383,3916.923096,4276.922852,4173.333008,4137.436035,4583.07666,4186.153809,4483.07666,3665.128174,4087.692139,4683.589844,4117.436035,4404.615234,3851.281982
4420.512695,3910.256348,4269.230469,4171.794922,4133.846191,4578.974121,4180.512695,4474.871582,3658.974365,4094.871582,4683.589844,4105.641113,4388.717773,3843.076904
4415.897461,3903.5896,4262.05127,4170.769043,4128.717773,4580.512695,4163.589844,4462.563965,3665.640869,4104.615234,4692.307617,4083.5896,4371.281738,3824.615234
4411.281738,3904.615234,4252.307617,4167.692383,4120,4578.974121,4148.717773,4439.487305,3649.230713,4074.871582,4673.333008,4065.128174,4339.487305,3806.153809
4408.205078,3904.615234,4243.589844,4168.717773,4108.205078,4578.974121,4145.12793,4423.589844,3623.076904,4042.563965,4651.794922,4064.102539,4331.281738,3805.640869
4410.769043,3902.05127,4243.07666,4170.769043,4100.512695,4582.05127,4138.461426,4427.179199,3620.512695,4037.435791,4654.871582,4068.205078,4346.666504,3810.769043
4417.435547,3906.153809,4252.820313,4168.717773,4103.589844,4571.794922,4141.538574,4449.743652,3644.615234,4058.461426,4670.769043,4075.897217,4349.230469,3816.923096
4420.512695,3910.256348,4257.94873,4171.794922,4107.692383,4564.615234,4147.179199,4455.897461,3663.076904,4082.563965,4682.05127,4083.076904,4328.205078,3822.563965
4417.94873,3910.769043,4253.333008,4180,4107.179199,4550.256348,4138.461426,4429.230469,3647.179443,4070.256348,4670.256348,4078.461426,4318.461426,3818.974365
4417.94873,3913.333252,4251.794922,4181.025391,4105.641113,4524.615234,4123.07666,4404.615234,3616.923096,4034.358887,4647.692383,4066.153809,4330.256348,3809.743408
4416.922852,3912.307617,4250.256348,4177.94873,4102.05127,4513.846191,4125.12793,4406.153809,3602.05127,4018.974365,4637.435547,4054.871582,4326.153809,3798.974365
4409.230469,3901.53833,4243.07666,4178.461426,4100.512695,4525.12793,4138.974121,4413.846191,3596.923096,4014.358887,4628.717773,4046.153809,4298.461426,3793.333252
4407.692383,3896.923096,4242.563965,4175.384277,4100,4562.05127,4130.256348,4405.12793,3591.281982,4006.666504,4622.05127,4040.512695,4277.94873,3793.333252
4407.692383,3905.128174,4240,4169.743652,4096.922852,4591.281738,4108.717773,4394.358887,3584.102539,3997.94873,4619.487305,4032.820313,4274.871582,3787.692139
4399.487305,3906.153809,4229.230469,4168.717773,4094.871582,4590.256348,4108.717773,4392.820313,3578.461426,3990.769043,4618.461426,4022.05127,4275.897461,3774.358887
4396.410156,3900.512695,4229.743652,4169.230469,4095.897217,4592.307617,4125.641113,4396.410156,3582.563965,3991.281982,4621.025391,4017.435791,4276.922852,3765.640869
4401.538574,3905.128174,4237.436035,4168.717773,4101.025391,4596.922852,4133.846191,4402.563965,3590.256348,3997.435791,4622.563965,4026.153809,4279.487305,3769.230713
4403.589844,3908.717773,4235.897461,4171.794922,4100.512695,4591.281738,4126.153809,4401.538574,3593.333252,4006.153809,4628.205078,4035.384521,4275.384277,3772.307617
4404.102539,3903.5896,4235.384277,4171.794922,4094.358887,4587.692383,4126.153809,4396.922852,3599.487061,4025.128174,4638.974121,4035.897217,4273.333008,3768.717773
4400,3899.487061,4234.871582,4168.717773,4092.820313,4586.153809,4134.871582,4408.205078,3606.666504,4033.845947,4639.487305,4034.871582,4280.512695,3768.205078
4394.358887,3896.923096,4231.794922,4169.743652,4093.333252,4589.743652,4130.769043,4408.717773,3598.974365,4017.94873,4629.743652,4033.845947,4283.589844,3768.717773
4395.384277,3897.435791,4233.846191,4168.717773,4089.743408,4586.153809,4115.384277,4387.179199,3586.666504,4012.307617,4622.563965,4035.384521,4278.974121,3767.692139
4398.974121,3901.53833,4233.846191,4167.179199,4086.666504,4578.974121,4106.153809,4378.461426,3592.307617,4031.794678,4628.205078,4041.53833,4269.743652,3768.205078
4396.410156,3901.025635,4231.281738,4168.205078,4086.153809,4584.615234,4107.179199,4392.307617,3601.53833,4031.794678,4630.256348,4039.487061,4273.333008,3766.666504
4390.256348,3892.307617,4228.717773,4163.589844,4084.615234,4585.641113,4116.922852,4407.692383,3588.205078,4005.640869,4617.435547,4032.820313,4293.846191,3766.666504
4389.743652,3885.640869,4228.717773,4159.487305,4081.53833,4586.666504,4117.436035,4408.205078,3581.025635,4007.179443,4618.974121,4033.333252,4294.358887,3765.640869
4390.256348,3890.769043,4229.743652,4161.538574,4083.5896,4585.641113,4110.769043,4403.589844,3599.487061,4041.025635,4637.435547,4035.897217,4278.974121,3764.102539
4386.153809,3893.333252,4229.230469,4160.512695,4085.640869,4580,4120,4403.07666,3603.5896,4049.230713,4638.974121,4032.820313,4273.846191,3763.076904
4384.102539,3886.153809,4227.692383,4156.922852,4081.53833,4587.179199,4128.205078,4395.384277,3589.230713,4023.5896,4630.769043,4029.743408,4272.820313,3762.05127
4383.07666,3886.153809,4225.12793,4153.846191,4083.5896,4580.512695,4123.07666,4391.794922,3591.281982,4021.025635,4633.846191,4039.487061,4286.666504,3767.179443
4386.666504,3891.794678,4229.743652,4159.487305,4090.769043,4580,4118.461426,4397.435547,3600.512695,4037.94873,4641.538574,4047.179443,4300,3769.743408
4389.230469,3890.256348,4235.384277,4167.692383,4093.333252,4593.333008,4125.641113,4401.538574,3591.281982,4024.615234,4636.410156,4042.05127,4290.769043,3768.205078
4380.512695,3886.666504,4227.179199,4160.512695,4094.871582,4577.94873,4136.410156,4411.281738,3589.230713,4017.94873,4624.615234,4044.102539,4294.871582,3771.281982
4379.487305,3885.640869,4218.974121,4156.410156,4091.281982,4577.94873,4129.230469,4418.461426,3604.102539,4044.615234,4633.846191,4043.5896,4296.922852,3765.640869
4385.641113,3888.205078,4222.563965,4163.07666,4090.769043,4585.641113,4123.589844,4420.512695,3622.563965,4075.897217,4651.794922,4042.563965,4287.179199,3763.076904
4384.102539,3888.205078,4227.692383,4161.538574,4093.845947,4578.461426,4130.769043,4420.512695,3622.563965,4073.845947,4646.666504,4052.307617,4294.358887,3775.384521
4382.05127,3885.640869,4226.153809,4157.94873,4090.769043,4585.12793,4135.897461,4406.153809,3604.615234,4051.281982,4634.358887,4048.717773,4296.410156,3774.871582
4381.025391,3890.769043,4224.102539,4161.538574,4090.769043,4579.487305,4138.461426,4404.102539,3610.769043,4064.102539,4636.922852,4041.025635,4300,3768.717773
4384.102539,3894.358887,4230.769043,4165.641113,4095.384521,4578.974121,4130.256348,4415.897461,3634.871826,4096.410156,4654.871582,4048.205078,4314.358887,3773.845947
4385.12793,3891.281982,4233.846191,4163.07666,4096.410156,4583.589844,4122.05127,4417.435547,3638.974365,4105.12793,4660.512695,4056.410156,4316.410156,3776.923096
4381.025391,3886.666504,4228.205078,4162.05127,4096.410156,4575.897461,4133.333008,4417.435547,3617.435791,4084.102539,4641.025391,4052.307617,4299.487305,3771.281982
4382.05127,3884.615234,4226.153809,4163.589844,4096.922852,4580.512695,4143.589844,4424.102539,3598.461426,4056.923096,4628.205078,4043.5896,4285.641113,3763.5896
4383.07666,3886.153809,4226.666504,4163.589844,4096.410156,4578.461426,4137.436035,4434.358887,3604.102539,4058.974365,4632.307617,4044.615234,4298.461426,3767.692139
4381.025391,3881.53833,4227.692383,4163.07666,4094.871582,4577.435547,4130.769043,4442.563965,3623.5896,4089.743408,4649.743652,4048.205078,4311.281738,3773.845947
4382.05127,3880,4230.769043,4164.102539,4097.436035,4577.435547,4138.974121,4449.230469,3641.025635,4121.025391,4668.205078,4050.256348,4309.743652,3774.358887
4384.102539,3887.179443,4230.256348,4167.179199,4100,4573.846191,4149.743652,4451.794922,3636.410156,4113.333008,4661.538574,4051.281982,4305.12793,3771.281982
4387.179199,3888.717773,4230.256348,4168.205078,4097.94873,4576.922852,4145.12793,4447.179199,3620.512695,4089.743408,4644.102539,4052.820313,4301.538574,3772.820313
4387.692383,3884.615234,4229.743652,4167.692383,4100.512695,4573.333008,4135.897461,4444.102539,3624.102539,4095.384521,4646.666504,4056.410156,4309.743652,3781.025635
4387.179199,3882.563965,4228.717773,4166.153809,4103.589844,4574.358887,4128.205078,4431.794922,3628.717773,4108.205078,4656.410156,4052.820313,4312.820313,3778.461426
4388.717773,3886.153809,4229.230469,4164.615234,4099.487305,4572.820313,4124.102539,4418.974121,3624.102539,4111.794922,4653.846191,4046.666504,4306.153809,3769.230713
4391.794922,3891.281982,4229.743652,4164.615234,4098.461426,4568.717773,4125.641113,4422.05127,3623.076904,4108.205078,4646.666504,4048.717773,4302.563965,3767.179443
4395.897461,3891.794678,4233.333008,4164.615234,4103.07666,4572.820313,4126.666504,4425.12793,3622.05127,4097.94873,4643.07666,4058.461426,4307.179199,3775.897461
4395.897461,3893.333252,4236.922852,4165.12793,4106.666504,4570.769043,4134.871582,4422.05127,3617.435791,4093.333252,4637.94873,4062.563965,4314.358887,3783.5896
4396.410156,3894.871582,4233.846191,4164.102539,4106.666504,4575.897461,4136.922852,4417.94873,3619.487061,4103.589844,4638.461426,4055.384521,4311.794922,3778.974365
4400,3896.410156,4232.820313,4163.07666,4107.692383,4574.871582,4122.563965,4426.666504,3634.871826,4118.974121,4650.256348,4056.923096,4316.922852,3778.974365
4404.102539,3897.94873,4240.512695,4168.717773,4111.281738,4567.692383,4121.025391,4449.743652,3652.820313,4131.281738,4662.05127,4070.256348,4335.384277,3790.256348
4404.102539,3896.923096,4247.179199,4172.307617,4111.794922,4573.846191,4133.846191,4456.922852,3664.615234,4149.743652,4672.307617,4074.358887,4338.461426,3794.358887
4397.435547,3894.871582,4240.512695,4164.102539,4110.256348,4569.230469,4122.05127,4435.897461,3657.94873,4152.820313,4667.179199,4064.102539,4331.794922,3787.692139
4394.871582,3892.307617,4235.897461,4158.974121,4106.153809,4564.615234,4099.487305,4414.358887,3632.820313,4120,4645.12793,4055.384521,4329.230469,3778.974365
4396.922852,3891.281982,4243.07666,4163.589844,4106.153809,4564.615234,4112.307617,4419.487305,3625.640869,4104.615234,4641.025391,4060,4332.307617,3781.025635
4397.94873,3894.871582,4246.666504,4164.102539,4109.743652,4562.563965,4126.153809,4431.794922,3641.025635,4137.436035,4659.487305,4070.256348,4343.589844,3792.307617
4403.07666,3896.410156,4248.205078,4162.05127,4110.256348,4570.769043,4116.410156,4426.153809,3646.666504,4156.410156,4669.743652,4070.769043,4348.717773,3795.897461
4405.12793,3896.923096,4250.769043,4166.153809,4112.820313,4565.641113,4113.846191,4422.05127,3637.94873,4134.358887,4656.410156,4074.358887,4346.666504,3797.435791
4405.641113,3900,4257.436035,4170.256348,4115.897461,4563.07666,4111.794922,4424.102539,3635.384521,4127.692383,4654.871582,4084.615234,4343.589844,3802.05127
4411.281738,3907.179443,4264.615234,4172.820313,4115.897461,4571.281738,4109.743652,4428.717773,3651.281982,4159.487305,4673.846191,4089.230713,4353.846191,3803.5896
4409.230469,3906.666504,4260,4174.358887,4120,4562.563965,4123.07666,4442.563965,3658.974365,4167.692383,4669.230469,4090.769043,4372.820313,3801.53833
4405.641113,3896.410156,4255.897461,4171.794922,4120,4568.205078,4121.538574,4437.94873,3640.512695,4136.922852,4651.794922,4083.076904,4363.589844,3794.871582
4407.692383,3897.94873,4259.487305,4172.820313,4119.487305,4571.794922,4103.07666,4425.12793,3637.94873,4137.94873,4657.94873,4077.94873,4352.307617,3791.794678
4410.256348,3905.128174,4257.436035,4175.897461,4123.07666,4564.102539,4104.102539,4423.07666,3651.281982,4157.94873,4668.205078,4080,4363.07666,3793.845947
4410.256348,3900.512695,4253.333008,4171.794922,4124.102539,4569.230469,4112.820313,4414.871582,3643.5896,4145.12793,4660,4075.897217,4362.563965,3792.307617
4406.153809,3895.384521,4251.281738,4164.615234,4117.436035,4562.05127,4108.717773,4409.230469,3634.358887,4131.794922,4649.230469,4072.820313,4352.307617,3790.769043
4401.538574,3893.845947,4248.717773,4164.615234,4109.230469,4560,4096.410156,4408.205078,3643.5896,4142.05127,4657.94873,4069.230713,4344.102539,3788.205078
4397.94873,3893.333252,4243.589844,4164.102539,4110.256348,4563.589844,4093.333252,4402.563965,3647.692139,4147.179199,4663.589844,4065.128174,4346.666504,3783.076904
4397.94873,3893.845947,4245.12793,4160.512695,4112.820313,4562.05127,4104.102539,4412.307617,3637.435791,4127.692383,4654.358887,4072.307617,4364.102539,3787.692139
4403.589844,3892.820313,4255.897461,4161.025391,4111.794922,4564.615234,4116.410156,4433.333008,3633.845947,4120.512695,4654.871582,4084.615234,4367.692383,3800
4409.230469,3894.358887,4261.538574,4167.692383,4118.461426,4559.487305,4114.358887,4428.205078,3640,4142.05127,4663.07666,4087.179443,4354.871582,3807.692139
4414.871582,3901.025635,4263.07666,4173.333008,4123.589844,4561.538574,4098.974121,4405.641113,3643.5896,4156.922852,4667.179199,4084.102539,4352.820313,3808.205078
4416.410156,3905.640869,4263.07666,4170.256348,4120,4562.563965,4096.922852,4410.769043,3644.615234,4152.307617,4664.615234,4088.717773,4366.153809,3809.743408
4411.281738,3901.025635,4261.025391,4168.205078,4117.94873,4556.922852,4103.07666,4425.641113,3633.845947,4136.922852,4655.897461,4090.256348,4367.179199,3808.717773
4407.692383,3895.897461,4263.589844,4174.871582,4119.487305,4562.563965,4100,4420,3618.974365,4127.692383,4653.333008,4086.153809,4362.563965,3803.5896
4409.230469,3901.025635,4263.07666,4180,4121.025391,4561.025391,4105.12793,4421.025391,3625.640869,4145.12793,4659.487305,4087.692139,4376.410156,3805.640869
4410.256348,3902.563965,4261.025391,4173.846191,4120,4557.94873,4111.281738,4429.743652,3642.563965,4168.205078,4668.205078,4087.692139,4384.102539,3803.5896
4409.743652,3895.897461,4263.07666,4167.692383,4120,4558.974121,4107.692383,4430.256348,3647.692139,4171.281738,4671.281738,4084.615234,4369.743652,3797.435791
4409.743652,3893.845947,4265.12793,4170.256348,4124.615234,4553.846191,4108.205078,4435.384277,3641.53833,4160,4664.102539,4090.769043,4358.461426,3801.53833
4412.820313,3900.512695,4265.641113,4174.871582,4125.641113,4556.922852,4108.717773,4438.461426,3639.487061,4155.897461,4662.563965,4098.461426,4364.102539,3807.179443
4416.410156,3909.230713,4269.743652,4179.487305,4126.666504,4557.94873,4108.717773,4433.846191,3648.717773,4161.538574,4668.717773,4104.615234,4376.410156,3813.845947
4417.435547,3910.256348,4275.897461,4182.563965,4131.794922,4556.410156,4109.230469,4428.205078,3650.256348,4160.512695,4667.179199,4112.307617,4383.589844,3822.563965
4418.974121,3909.743408,4280,4183.07666,4134.358887,4557.94873,4110.769043,4433.846191,3646.153809,4162.563965,4667.179199,4119.487305,4391.794922,3829.230713
4419.487305,3910.769043,4280,4184.615234,4133.846191,4560,4115.384277,4448.717773,3657.435791,4185.641113,4682.563965,4123.589844,4408.205078,3835.384521
4418.461426,3911.281982,4278.974121,4186.666504,4137.436035,4561.538574,4121.538574,4452.820313,3674.358887,4206.666504,4692.307617,4122.05127,4416.410156,3836.410156
4417.435547,3911.794678,4281.025391,4185.12793,4140.512695,4557.435547,4121.025391,4447.179199,3673.845947,4205.641113,4683.589844,4123.589844,4411.794922,3835.384521
4419.487305,3910.769043,4284.102539,4184.615234,4136.922852,4561.538574,4115.897461,4437.94873,3662.563965,4194.871582,4677.94873,4123.589844,4401.538574,3834.358887
4418.461426,3909.230713,4283.07666,4184.102539,4133.846191,4562.563965,4124.615234,4434.871582,3656.410156,4186.153809,4674.871582,4115.384277,4397.94873,3829.743408
